lr,dropout,dense_units,optimizer,batch_size,val_acc
0.001,0.3,128,rmsprop,64,0.90625
0.001,0.5,128,rmsprop,32,0.90625
0.001,0.3,128,rmsprop,32,0.903124988079071
0.001,0.5,128,adam,32,0.8999999761581421
0.0005,0.3,0,rmsprop,32,0.8999999761581421
0.001,0.3,128,adam,64,0.8968750238418579
0.0005,0.3,128,rmsprop,64,0.8968750238418579
0.0005,0.3,128,rmsprop,32,0.8968750238418579
0.0005,0.3,128,adam,32,0.893750011920929
0.001,0.3,128,adam,32,0.893750011920929
0.0005,0.5,128,rmsprop,32,0.893750011920929
0.0005,0.5,128,adam,32,0.893750011920929
0.001,0.5,128,rmsprop,64,0.890625
0.0005,0.5,128,adam,64,0.890625
0.001,0.3,0,rmsprop,32,0.890625
0.001,0.5,0,adam,32,0.890625
0.001,0.5,128,adam,64,0.887499988079071
0.001,0.3,0,rmsprop,64,0.887499988079071
0.0005,0.3,128,adam,64,0.887499988079071
0.001,0.5,0,rmsprop,64,0.8843749761581421
0.0005,0.5,128,rmsprop,64,0.8812500238418579
0.0005,0.5,0,rmsprop,32,0.8812500238418579
0.001,0.3,0,adam,32,0.8812500238418579
0.001,0.3,0,adam,64,0.871874988079071
0.001,0.5,0,adam,64,0.871874988079071
0.001,0.5,0,rmsprop,32,0.871874988079071
0.0005,0.5,0,rmsprop,64,0.871874988079071
0.0005,0.3,0,adam,32,0.8656250238418579
0.0005,0.5,0,adam,64,0.8656250238418579
0.0005,0.3,0,rmsprop,64,0.862500011920929
0.0005,0.5,0,adam,32,0.862500011920929
0.0005,0.3,0,adam,64,0.846875011920929
